file_id,gap_index,gap_start_ms,gap_end_ms,gap_ms,gap_sec,prev_speaker,next_speaker,speaker_change,prev_duration_sec,next_duration_sec,prev_text_len,next_text_len,prev_word_count,next_word_count,prev_avg_conf,prev_last_conf,next_avg_conf,prev_is_question,next_is_question,prev_text,next_text
1112,80,542650,549855,7205,7.205,SPEAKER_0,SPEAKER_0,False,7.78,7.54,58,57,16,14,0.9793125,0.979,0.96,False,True,내가 무엇을 하려고 하면 무조건 안된다고 하지 말라고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요,아니요. 어른들이 나를 집에서 쫓아내거나 버리겠다고 말하거나 어디에 가두고 못 나오게 한 적이 있나요?
1112,36,230820,237945,7125,7.125,SPEAKER_1,SPEAKER_1,False,9.62,3.54,63,27,15,8,0.9414666666666667,0.947,0.968,False,False,감사해요. 제가 원하는 성적을 받지 못하거나 기대에 부응하지 못하더라도 엄마랑 이야기하면 위로가 되는 것 같아요.,네. 올해 고등학교 입학한 언니가 한 명 있어요.
1354,65,278426,285330,6904,6.904,SPEAKER_1,SPEAKER_0,True,0.821,1.62,5,15,2,4,0.982,0.976,0.9835,False,True,저번 달에,그 아저씨는 아는 사람이야?
5194,45,313365,320100,6735,6.735,SPEAKER_0,SPEAKER_0,False,3.38,0.58,29,7,7,2,0.9415714285714286,0.999,0.9685,False,False,좋아요. 아빠한테 더 잘해줘야 한다는 생각이 들어요.,형제자매는 몇
1112,77,517370,523845,6475,6.475,SPEAKER_1,SPEAKER_0,True,2.18,3.62,15,31,4,8,0.96425,0.993,0.949875,False,True,바쁘셔서 항상 모시진 못하고,부모님이나 선생님 때문에 기분이 안 좋아진 적이 있나요?
5194,17,114080,120475,6395,6.395,SPEAKER_0,SPEAKER_0,False,0.5,1.461,6,12,1,4,0.996,0.996,0.99825,False,True,모르겠어요.,최근 즐거운 적 없어?
5194,20,135250,141565,6315,6.315,SPEAKER_0,SPEAKER_0,False,1.94,4.1,16,34,4,10,0.99475,0.996,0.994,True,False,언제부터 즐겁다고 못 느꼈어?,올해 학년이 바뀌고 난 후부터라서 육 개월은 넘은 것 같아요.
1786,18,94935,101235,6300,6.3,SPEAKER_0,SPEAKER_0,False,2.1,3.86,19,34,5,8,0.973,0.959,0.959875,True,True,자고 일어나면 몸 상태는 어떤가요?,괜찮아요. 평소에 잠들기 힘들거나 잠자는 중간에 자주 깨나요?
5194,53,367015,373160,6145,6.145,SPEAKER_0,SPEAKER_0,False,1.14,1.62,11,12,2,3,0.995,0.997,0.9413333333333334,False,True,친구들이 괴롭혀서요.,담임 선생님을 좋아해?
5194,51,351080,357074,5994,5.994,SPEAKER_0,SPEAKER_0,False,0.5,3.861,4,34,1,7,0.994,0.994,0.8627142857142857,False,True,몰라요.,친구들이 괴롭혀서 놓노라 아니면 친구들에게 다가가기가 어려워?
2560,89,443111,448944,5833,5.833,SPEAKER_0,SPEAKER_0,False,4.421,4.021,40,40,11,10,0.9969090909090909,0.998,0.9766,True,True,내가 원하지 않는데 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?,없어요. 성적인 목적으로 나의 신체부위를 찍어 누구에게 보낸 적 있나요?
5194,37,255496,261315,5819,5.819,SPEAKER_0,SPEAKER_0,False,0.821,2.5,6,27,3,7,0.9653333333333334,1.0,0.9405714285714286,False,True,삼 일 정도,돼요. 평상시 아빠는 어떤 표정을 자주 지으셨어?
5194,112,822615,828389,5774,5.774,SPEAKER_0,SPEAKER_0,False,1.94,1.861,19,19,4,5,0.88825,0.999,0.9668,False,False,아니요. 때리거나 하지는 않았어요.,어떨 때 마음이 복잡하거나 힘들어.
2315,43,207585,213325,5740,5.74,SPEAKER_0,SPEAKER_0,False,1.46,2.18,14,18,3,4,0.9006666666666667,0.778,0.78925,True,True,담임 선생님을 좋아하나요?,좋아해요. 어떤 이유로 그런가요?
1112,96,664535,670210,5675,5.675,SPEAKER_1,SPEAKER_0,True,0.5,5.06,4,38,1,11,0.892,0.892,0.9672727272727273,False,True,아니요.,누가 성적인 목적으로 내 몸을 사진 찍거나 동영상 찍은 적이 있나요?
5194,41,285655,291330,5675,5.675,SPEAKER_0,SPEAKER_0,False,4.181,2.19,39,26,12,7,0.9815833333333334,0.998,0.9865714285714285,False,False,일이 힘들 것 같아요. 그래도 저를 보면 웃는 데 힘이 난다고 했어요.,아빠의 표정을 볼 때 기분이 어때? 안타까워요.
5194,47,326680,332355,5675,5.675,SPEAKER_0,SPEAKER_0,False,1.15,1.62,14,14,3,4,0.8833333333333333,0.99,0.91625,False,True,명이야? 저는 외동이에요.,친구들이랑 뭐 하고 놀아?
1112,62,417245,422910,5665,5.665,SPEAKER_0,SPEAKER_1,True,2.82,0.5,26,4,7,1,0.964,0.906,0.986,True,False,집에서 주로 나를 돌봐주는 어른 은 누구인가요?,엄마요.
5194,33,229076,234735,5659,5.659,SPEAKER_0,SPEAKER_0,False,0.501,2.66,5,27,1,7,1.0,1.0,0.956,False,True,평범해요.,잠들기 힘들거나 잠자는 중간에 깨는 일이 있을까?
1354,14,65470,71104,5634,5.634,SPEAKER_0,SPEAKER_0,False,2.74,1.861,27,14,8,5,0.992125,0.952,0.9786,True,True,그렇게 짜증이 났을 때 어떻게 해야 기분이 풀려?,몇 시부터 몇 시까지 자?
5194,26,179886,185470,5584,5.584,SPEAKER_0,SPEAKER_0,False,2.101,1.06,19,10,5,3,0.9621999999999999,0.835,0.927,True,False,짜증이나 화나는 일이 자주 일어나?,네. 자주 있어요.
1354,30,126430,131985,5555,5.555,SPEAKER_0,SPEAKER_0,False,1.62,1.38,13,11,4,4,0.89975,0.987,0.94575,True,True,친구들과 뭐 하고 놀아?,몇 명이 같이 놀아?
5194,73,506095,511600,5505,5.505,SPEAKER_0,SPEAKER_0,False,0.5,8.341,4,34,1,10,0.964,0.964,0.9596,False,False,아빠요.,배가 고픈데 먹을 게 없어서 굶은 적 있어? 아니요. 없어요.
5194,84,590245,595750,5505,5.505,SPEAKER_0,SPEAKER_0,False,1.54,3.14,14,30,4,8,0.9545,0.983,0.948125,False,True,"네, 아빠가 거의 오세요.",부모님이나 선생님 때문에 기분이 안 좋아진 적이 있어?
5194,99,709150,714655,5505,5.505,SPEAKER_0,SPEAKER_0,False,0.5,3.62,4,33,1,7,0.991,0.991,0.9128571428571428,False,True,아니요.,내가 싫다는데도 계속해서 연락하거나 따라다니는 사람이 있어?
1112,58,381675,387175,5500,5.5,SPEAKER_0,SPEAKER_1,True,4.101,1.22,34,10,9,3,0.9176666666666666,0.779,0.7986666666666666,True,False,커서 어떤 사람이 되고 싶은지 꿈이 무엇인지 이야기해 줄래요?,의사가 될 거예요.
5194,104,751330,756829,5499,5.499,SPEAKER_0,SPEAKER_0,False,0.741,0.821,7,7,2,2,0.937,0.999,0.995,False,True,"네, 있어요.",누가 그랬어?
2315,84,427050,432535,5485,5.485,SPEAKER_0,SPEAKER_0,False,3.14,4.82,32,38,7,10,0.9701428571428572,1.0,0.9803999999999999,True,True,내가 싫어하는데도 계속 연락하거나 따라다닌 사람이 있나요?,없어요. 가족들끼리 소리를 지르면서 싸우는 걸 듣거나 본 적 있어요?
5194,78,547121,552585,5464,5.464,SPEAKER_0,SPEAKER_0,False,0.501,3.141,4,28,1,8,0.999,0.999,0.846375,False,True,없어요.,자가진 옷이나 신발을 있거나 신고 다닌 적이 있어?
1136,47,258195,263640,5445,5.445,SPEAKER_1,SPEAKER_0,True,2.82,2.02,25,16,6,5,0.9798333333333333,0.969,0.9798,False,True,부모님은 좀 싸우지만 엄마가 절 사랑하니까요.,커서 어떤 사람이 되고 싶어?
5194,13,89970,95405,5435,5.435,SPEAKER_0,SPEAKER_0,False,2.26,1.38,21,13,6,4,0.9503333333333334,0.997,0.99675,False,True,등교하고 난 후나 집에 돌아왔을 때요.,최근에 다친 적 있었어?
5194,12,82290,87710,5420,5.42,SPEAKER_0,SPEAKER_0,False,1.7,2.26,15,21,4,6,0.974,0.988,0.9503333333333334,True,False,배의 통증이 언제쯤 사라져?,등교하고 난 후나 집에 돌아왔을 때요.
0379,66,382211,387630,5419,5.419,SPEAKER_0,SPEAKER_0,False,6.536,5.701,50,49,15,14,0.9806,0.954,0.9742857142857143,True,True,저녁에 나를 집에 혼자 두고 나가거나 갑자기 말도 없이 집을 나가서 안 들어오신 적 있어?,아니요. 빨래가 되어 있지 않거나 옷이나 신발 사이즈가 맞지 않는 것을 사용한 적 있어?
1136,51,285545,290930,5385,5.385,SPEAKER_1,SPEAKER_0,True,5.38,3.3,44,26,11,8,0.9254545454545454,0.988,0.9915,False,True,비스테릿 퍼즐을 풀면서 저만의 이야기를 만들기도 하는데 그걸 글로 써보고 싶어요,학교나 학원 끝나고 집에 가면 보통 누가 있어?
3696,28,114150,119524,5374,5.374,SPEAKER_0,SPEAKER_0,False,1.38,2.021,10,22,2,6,0.9015,0.999,0.917,True,True,형제자매가 있나요?,없어요. 친구들과 주로 뭐 하고 놀아요?
5194,19,127936,133310,5374,5.374,SPEAKER_0,SPEAKER_0,False,1.141,1.94,9,16,3,4,0.9983333333333333,1.0,0.99475,False,True,그런 것 같아요.,언제부터 즐겁다고 못 느꼈어?
5194,57,396135,401500,5365,5.365,SPEAKER_0,SPEAKER_0,False,3.3,2.1,29,17,7,5,0.8888571428571428,0.999,0.926,False,True,별 소용은 없었는데 괴롭힌 친구들 혼돈하고 그랬어요.,요즘 가장 큰 고민거리가 뭐야?
1112,56,362795,368150,5355,5.355,SPEAKER_0,SPEAKER_1,True,2.26,5.3,18,40,4,11,0.9595,0.854,0.9800909090909091,True,False,어떤 점에서 불행하다고 느끼나요?,가족들이 기대하는 만큼 제가 멋진 사람이 아닌 것 같아서 너무 속상해요.
5194,1,10180,15535,5355,5.355,SPEAKER_0,SPEAKER_0,False,0.82,1.14,7,10,2,3,0.8674999999999999,0.851,0.997,False,True,배가 아파요.,배가 어떻게 아파?
5194,76,533435,538780,5345,5.345,SPEAKER_0,SPEAKER_0,False,0.5,3.141,4,33,1,9,0.985,0.985,0.8716666666666667,False,True,아니요.,빨래가 되어있지 않아서 더러운 옷을 입어야 했던 적이 있어?
5194,14,96785,102125,5340,5.34,SPEAKER_0,SPEAKER_0,False,1.38,0.5,13,4,4,1,0.99675,0.997,0.999,True,False,최근에 다친 적 있었어?,없어요.
5194,11,75265,80590,5325,5.325,SPEAKER_0,SPEAKER_0,False,0.5,1.7,6,15,1,4,0.993,0.993,0.974,False,True,모르겠어요.,배의 통증이 언제쯤 사라져?
0379,67,393331,398645,5314,5.314,SPEAKER_0,SPEAKER_0,False,5.701,4.98,49,40,14,10,0.9742857142857143,0.988,0.9572,True,True,아니요. 빨래가 되어 있지 않거나 옷이나 신발 사이즈가 맞지 않는 것을 사용한 적 있어?,아니요. 인터넷이나 휴대폰을 가지고 노는 시간은 하루에 몇 시간 정도야?
5194,5,36050,41335,5285,5.285,SPEAKER_0,SPEAKER_0,False,1.78,1.7,15,17,5,4,0.996,1.0,0.99825,False,True,배 전체가 아픈 것 같아요.,언제부터 배가 아프기 시작했어?
5194,3,21795,27070,5275,5.275,SPEAKER_0,SPEAKER_0,False,0.5,2.82,6,24,1,7,0.995,0.995,0.9145714285714286,False,True,모르겠어요.,배 전체가 아파 아니면 쿡쿡 쑤시듯이 아파?
5194,80,561325,566600,5275,5.275,SPEAKER_0,SPEAKER_0,False,0.5,3.3,4,33,1,8,0.995,0.995,0.976375,False,True,없어요.,인터넷이나 휴대폰을 가지고 노는 시간은 하루에 몇 시간이야?
5194,90,642025,647300,5275,5.275,SPEAKER_0,SPEAKER_0,False,4.58,2.58,29,23,7,5,0.9917142857142857,0.979,0.9016,True,False,아니요. 마음이 힘들 때 가족에게 힘들다고 이야기해?,네. 다 이야기하지는 못하지만 이야기해요.
3891,52,306165,311425,5260,5.26,SPEAKER_1,SPEAKER_0,True,0.82,3.78,9,34,2,9,0.9855,0.977,0.9657777777777777,False,True,저는 혼자잖아요.,커서 어떤 사람이 되고 싶은지 꿈이 무엇인지 이야기해 줄래요?
5194,27,186530,191790,5260,5.26,SPEAKER_0,SPEAKER_0,False,1.06,2.98,10,30,3,9,0.927,0.999,0.9447777777777777,False,True,네. 자주 있어요.,평소 짜증이나 화가 났을 때 어떻게 하면 마음이 풀려?
5194,35,242440,247700,5260,5.26,SPEAKER_0,SPEAKER_0,False,0.82,2.18,6,21,2,7,0.9875,0.994,0.9795714285714285,False,True,자주 깨요.,자주 깨는 게 일주일에 몇 번이나 돼?
5194,28,194770,200015,5245,5.245,SPEAKER_0,SPEAKER_0,False,2.98,3.3,30,28,9,8,0.9447777777777777,0.958,0.9319999999999999,True,False,평소 짜증이나 화가 났을 때 어떻게 하면 마음이 풀려?,모르겠어요. 마음이 풀려 본 적이 없는 것 같아요.
1354,71,305255,310460,5205,5.205,SPEAKER_0,SPEAKER_0,False,1.46,2.98,11,27,3,8,0.9976666666666667,0.993,0.983125,True,True,혹시 부모님은 아셔?,누가 나에게 부끄럽고 창피한 짓을 시킨 적 있어?
1786,65,329871,335075,5204,5.204,SPEAKER_0,SPEAKER_0,False,5.701,3.94,39,42,11,10,0.9344545454545454,0.998,0.9818,True,True,아니요. 옷이나 신발 사이즈가 작은 걸 입거나 신고 다닌 적이 있나요?,아니요. 인터넷이나 휴대폰을 가지고 노는 시간은 하루에 몇 시간 정도인가요?
5194,114,836490,841675,5185,5.185,SPEAKER_0,SPEAKER_0,False,1.461,4.66,12,49,3,14,0.988,0.997,0.9937142857142857,False,True,친구들이 괴롭힐 때요.,안 좋은 기억 때문에 괴로워서 스스로 해치려는 생각이나 죽고 싶다는 생각을 한 적 있어?
1112,50,324785,329965,5180,5.18,SPEAKER_0,SPEAKER_1,True,2.26,0.5,17,5,5,1,0.9611999999999999,0.949,0.952,True,False,요즘 제일 걱정되는 게 뭐예요?,성적이요.
2315,81,404375,409555,5180,5.18,SPEAKER_0,SPEAKER_0,False,4.18,6.775,44,64,12,16,0.9470833333333333,0.436,0.9703125,False,True,내가 원하지 않는데도 누가 내 몸을 만지거나 보여달라고 한 적 있어요? 아니요.,인터넷이나 휴대폰을 통해 성적인 목적으로 내 신체 부위를 사진이나 영상을 찍어 누구에게 보내거나 올린 적이 있나요?
5194,10,69585,74765,5180,5.18,SPEAKER_0,SPEAKER_0,False,1.381,0.5,12,6,3,1,0.963,0.988,0.993,True,False,아팠던 이유가 있을까?,모르겠어요.
5194,31,216500,221680,5180,5.18,SPEAKER_0,SPEAKER_0,False,2.02,2.1,20,20,6,6,0.9693333333333334,0.835,0.9956666666666667,False,True,열한 시에 자서 일곱 시에 일어나요.,아침에 일어났을 때 몸 상태는 어때?
5194,58,403600,408780,5180,5.18,SPEAKER_0,SPEAKER_0,False,2.1,1.38,17,10,5,3,0.926,0.717,0.9926666666666667,True,False,요즘 가장 큰 고민거리가 뭐야?,아침이 오는 거요.
0184,85,400110,405265,5155,5.155,SPEAKER_0,SPEAKER_0,False,3.78,3.941,32,31,9,9,0.9912222222222222,0.998,0.9515555555555556,False,True,아플 때 어른들이 병원에 데려가지 않은 적 있어? 없어요.,운동회나 수업 청강 같은 학교 행사에 잘 오시는 편이야?
0379,46,249510,254665,5155,5.155,SPEAKER_0,SPEAKER_0,False,3.301,2.1,29,18,7,5,0.9428571428571428,0.991,0.9818,True,True,"담임 선생님은 좋아하는 편이야, 안 좋아하는 편이야?",좋아해요. 어떤 점이 좋은 거야?
5194,71,493480,498635,5155,5.155,SPEAKER_0,SPEAKER_0,False,5.78,2.101,47,18,13,5,0.9763076923076923,1.0,0.9368,False,False,없어? 네. 커서 직장에 다니면 이 친구들이 쫓아와서 직장도 그만두게 할 것 같아요.,주로 나를 돌봐주는 어른은 누구야
5194,63,437530,442675,5145,5.145,SPEAKER_0,SPEAKER_0,False,0.98,1.781,8,12,2,3,0.966,0.997,0.997,False,True,매일 힘들어요.,요즘 행복하다고 느껴?
5194,117,861710,866845,5135,5.135,SPEAKER_0,SPEAKER_0,False,2.98,0.98,26,9,7,3,0.9398571428571428,0.945,0.999,True,False,스스로를 아프게 했거나 죽으려고 해본 적 있어?,그런 적 없어요.
0006,97,439830,444945,5115,5.115,SPEAKER_0,SPEAKER_0,False,0.5,2.58,6,21,1,5,0.978,0.978,0.9954,True,True,누구인가요?,엄마요. 그 어른이 최근에도 때리나요?
5194,115,846335,851449,5114,5.114,SPEAKER_0,SPEAKER_0,False,4.66,2.981,49,26,14,8,0.9937142857142857,0.97,0.8885,True,False,안 좋은 기억 때문에 괴로워서 스스로 해치려는 생각이나 죽고 싶다는 생각을 한 적 있어?,네. 그때 죽고 싶다는 생각은 해본 적 있어요.
2560,67,331310,336410,5100,5.1,SPEAKER_0,SPEAKER_0,False,4.355,1.78,34,13,10,4,0.9713,0.998,0.98425,False,False,옷이나 신발이 작은 걸 입거나 신고 다닌 적 있어요? 없어요.,어른들이 학교 행사에 잘
5069,81,428310,433410,5100,5.1,SPEAKER_0,SPEAKER_0,False,2.58,2.26,24,21,7,6,0.965,0.98,0.9328333333333333,True,True,주위 어른들 중 친구를 때린 사람이 있었어?,아니요. 혼날 때는 주로 어떻게 혼나?
5194,6,43035,48135,5100,5.1,SPEAKER_0,SPEAKER_0,False,1.7,1.46,17,13,4,5,0.99825,0.997,1.0,True,False,언제부터 배가 아프기 시작했어?,한 달 넘은 것 같아요.
5194,23,158370,163470,5100,5.1,SPEAKER_0,SPEAKER_0,False,0.98,1.62,8,13,2,4,0.998,0.999,0.997,False,True,화가 났었어요.,무엇 때문에 화가 났어?
5194,70,482600,487700,5100,5.1,SPEAKER_0,SPEAKER_0,False,1.06,5.78,8,47,3,13,0.9983333333333333,0.996,0.9763076923076923,False,False,하고 싶은 일이,없어? 네. 커서 직장에 다니면 이 친구들이 쫓아와서 직장도 그만두게 할 것 같아요.
5194,83,583605,588705,5100,5.1,SPEAKER_0,SPEAKER_0,False,3.06,1.54,30,14,9,4,0.8836666666666667,0.933,0.9545,True,False,어른들이 운동회나 청관 속 같은 학교 행사의 잘 오셔?,"네, 아빠가 거의 오세요."
1112,48,312361,317460,5099,5.099,SPEAKER_0,SPEAKER_1,True,2.421,1.38,20,8,5,2,0.8732,0.862,0.873,True,False,어떤 부분에서 담임 선생님이 좋아요?,예쁘고 착해요.
5194,79,555726,560825,5099,5.099,SPEAKER_0,SPEAKER_0,False,3.141,0.5,28,4,8,1,0.846375,0.672,0.995,True,False,자가진 옷이나 신발을 있거나 신고 다닌 적이 있어?,없어요.
5194,98,703551,708650,5099,5.099,SPEAKER_0,SPEAKER_0,False,3.461,0.5,35,4,10,1,0.843,0.862,0.991,True,False,목적으로 나이 신체 보유를 찍어서 다른 사람에게 보낸 적 있어?,아니요.
5194,125,916161,921260,5099,5.099,SPEAKER_0,SPEAKER_0,False,2.261,0.501,19,4,6,1,0.9955,0.988,0.999,True,False,친한 친구 중 가출한 친구가 있어?,없어요.
1112,64,431810,436905,5095,5.095,SPEAKER_0,SPEAKER_1,True,4.421,2.581,30,19,9,5,0.9897777777777778,0.929,0.9624,True,False,학교나 학원 끝나고 집에 가면 집에 항상 누가 있어요?,"아니요, 가족 모두 각자 바빠서요."
5194,107,770065,775160,5095,5.095,SPEAKER_0,SPEAKER_0,False,3.3,18.765,21,138,4,35,0.9904999999999999,0.997,0.9672857142857143,True,False,친구들이요. 어떻게 놀리거나 괴롭혔어?,제가 엄마 없는 곳으로 놀리기 시작했어요. 화장실에 가면 저한테 침을 뱉기도 하고 엄마가 업소 나가는 더러운 년이라고 말했어요. 제가 교실 지나가면 버러지 여기 있다고 욕도 했어요. 인스타에 저격하는 내용의 사진을 공유하고 저만 태그 걸기도 해요.
5194,123,903455,908529,5074,5.074,SPEAKER_0,SPEAKER_0,False,3.941,0.501,38,4,12,1,0.9865,0.985,0.984,True,False,어른들 허락 없이 또는 말 없이 집에 오랫동안 나와 있었던 적 있어?,아니요.
1112,66,446685,451729,5044,5.044,SPEAKER_0,SPEAKER_1,True,3.3,0.501,25,4,8,1,0.95425,0.985,0.932,True,False,배가 고픈데 먹을 게 없어서 굶은 적 있어요?,아니요.
5194,105,757650,762685,5035,5.035,SPEAKER_0,SPEAKER_0,False,0.821,0.5,7,1,2,1,0.995,1.0,0.494,True,False,누가 그랬어?,반
1112,60,394390,399410,5020,5.02,SPEAKER_0,SPEAKER_1,True,2.58,10.795,21,73,6,19,0.9958333333333333,0.999,0.8933157894736842,True,False,왜 의사가 되고 싶다는 생각을 했어요?,엄마 아빠가 모두 의사라서 언니도 그렇고 저도 그렇고 의사가 꿈이에요. 언니도 이때 목표로 공부하고 있구요. 저도 그럴 것 같아요.
1786,55,278915,283935,5020,5.02,SPEAKER_0,SPEAKER_0,False,4.34,2.5,37,25,10,6,0.9923,0.949,0.9981666666666666,False,True,커피 냄새도 좋고 카페에 가면 커피 만드시는 분들이 멋져 보여서요.,집에서 주로 나를 돌봐주는 어른은 누구인가요?
5194,95,688735,693755,5020,5.02,SPEAKER_0,SPEAKER_0,False,4.26,0.5,42,4,12,1,0.98025,0.799,0.977,True,False,친구가 원하지 않는데도 누군가 친구 몸을 만지거나 보여 달라고 한 적 있어?,아니요.
5036,91,425926,430940,5014,5.014,SPEAKER_0,SPEAKER_0,False,4.831,3.86,37,29,8,6,0.9778749999999999,0.948,0.927,False,True,친구가 싫다는데도 계속 연락하거나 따라다니는 사람이 있어? 없어요.,가족들끼리 소리를 지르면서 싸우는걸 듣거나 본적있어?
5194,69,476535,481540,5005,5.005,SPEAKER_0,SPEAKER_0,False,0.98,1.06,7,8,2,3,0.9875,0.996,0.9983333333333333,False,False,꿈이 없어요.,하고 싶은 일이
5194,121,888350,893355,5005,5.005,SPEAKER_0,SPEAKER_0,False,3.46,1.38,35,11,10,3,0.919,0.704,0.9926666666666667,True,False,생각하고 싶지 않은데도 자꾸 안 좋은 기억이 떠오른 적이 있어?,그런 기억이 없어요.
3891,53,315205,320200,4995,4.995,SPEAKER_0,SPEAKER_1,True,3.78,3.701,34,30,9,9,0.9657777777777777,0.954,0.9555555555555556,True,False,커서 어떤 사람이 되고 싶은지 꿈이 무엇인지 이야기해 줄래요?,아직 잘 모르겠어요. TV 보면 하고 싶은 건 많아요.
5194,93,671075,676060,4985,4.985,SPEAKER_0,SPEAKER_0,False,2.66,3.7,25,30,7,7,0.9462857142857143,0.946,0.9455714285714286,True,False,없어요. 혼날 땐 어떻게 혼나? 맞지는 않아?,아빠가 말로 잘못한 점을 이야기하세요. 맞지는 않아요.
5194,15,102625,107580,4955,4.955,SPEAKER_0,SPEAKER_0,False,0.5,1.14,4,11,1,4,0.999,0.999,0.978,False,True,없어요.,뭐 할 때가 즐거워?
5194,44,305045,309985,4940,4.94,SPEAKER_0,SPEAKER_0,False,0.501,3.38,3,29,1,7,0.997,0.997,0.9415714285714286,True,False,어때?,좋아요. 아빠한테 더 잘해줘야 한다는 생각이 들어요.
5194,52,360935,365875,4940,4.94,SPEAKER_0,SPEAKER_0,False,3.861,1.14,34,11,7,2,0.8627142857142857,0.97,0.995,True,False,친구들이 괴롭혀서 놓노라 아니면 친구들에게 다가가기가 어려워?,친구들이 괴롭혀서요.
5194,54,374780,379720,4940,4.94,SPEAKER_0,SPEAKER_0,False,1.62,0.9,12,8,3,2,0.9413333333333334,0.998,0.9405,True,False,담임 선생님을 좋아해?,"네, 좋아해요."
5194,91,649880,654820,4940,4.94,SPEAKER_0,SPEAKER_0,False,2.58,2.661,23,27,5,9,0.9016,0.839,0.9341111111111111,False,True,네. 다 이야기하지는 못하지만 이야기해요.,주변 어른 중에 나를 때린 적이 있는 사람 있어?
1136,37,199705,204610,4905,4.905,SPEAKER_1,SPEAKER_0,True,1.46,2.02,10,15,3,5,0.957,0.907,0.9833999999999999,False,True,그냥 착해서 좋아요,요즘 제일 큰 고민이 뭐야?
5194,124,909030,913900,4870,4.87,SPEAKER_0,SPEAKER_0,False,0.501,2.261,4,19,1,6,0.984,0.984,0.9955,False,True,아니요.,친한 친구 중 가출한 친구가 있어?
5194,16,108720,113580,4860,4.86,SPEAKER_0,SPEAKER_0,False,1.14,0.5,11,6,4,1,0.978,0.999,0.996,True,False,뭐 할 때가 즐거워?,모르겠어요.
